编号,功能,用例标题,前置条件,测试数据,操作步骤,预期结果,实际结果,缺陷单号,用例类型,备注
1,登录,正确用户名和密码登录成功,已进入登录页；账号状态正常,用户名：testuser01；密码：Abc123456,"1. 输入正确用户名
2. 输入正确密码
3. 点击“登录”","1. 登录成功
2. 跳转系统首页
3. 创建有效登录会话",通过,,正向,
2,登录,用户名为空时提示校验信息,已进入登录页,用户名：空；密码：Abc123456,"1. 用户名留空
2. 输入密码
3. 点击“登录”","1. 页面提示“请输入用户名”或等效文案
2. 不允许登录
3. 页面不跳转",不通过,QXWT-xxxxx-xxxxxx,异常,错误描述\截图等等
3,登录,密码为空时提示校验信息,已进入登录页,用户名：testuser01；密码：空,"1. 输入用户名
2. 密码留空
3. 点击“登录”","1. 页面提示“请输入密码”或等效文案
2. 不允许登录
3. 页面不跳转",,,异常,
4,登录,用户名和密码均为空时提示校验信息,已进入登录页,用户名：空；密码：空,"1. 用户名、密码均不输入
2. 点击“登录”","1. 页面给出必填校验提示
2. 不允许登录
3. 页面不跳转",,,异常,
5,登录,用户名不存在时登录失败,已进入登录页,用户名：notexist001；密码：Abc123456,"1. 输入不存在的用户名
2. 输入任意密码
3. 点击“登录”","1. 登录失败
2. 提示“用户名或密码错误”类通用文案
3. 不泄露“用户名不存在”等敏感信息",,,异常/安全,
6,登录,用户名正确但密码错误时登录失败,已进入登录页；账号存在且状态正常,用户名：testuser01；密码：Wrong123,"1. 输入正确用户名
2. 输入错误密码
3. 点击“登录”","1. 登录失败
2. 提示“用户名或密码错误”
3. 页面不跳转",,,异常,
7,登录,用户名长度小于最小限制时校验失败,已进入登录页；用户名最小长度规则已明确,用户名：ab；密码：Abc123456,"1. 输入长度不足的用户名
2. 输入密码
3. 点击“登录”","1. 页面提示用户名长度不符合要求
2. 不允许登录",,,边界,
8,登录,用户名长度等于最小限制时允许提交,已进入登录页；用户名最小长度规则已明确,用户名：abc；密码：Abc123456,"1. 输入最小长度合法用户名
2. 输入密码
3. 点击“登录”","1. 前端校验通过
2. 若账号存在且密码正确则可登录成功",,,边界,
9,登录,密码长度小于最小限制时校验失败,已进入登录页；密码长度规则已明确,用户名：testuser01；密码：12345,"1. 输入用户名
2. 输入长度不足密码
3. 点击“登录”","1. 页面提示密码长度不符合要求
2. 不允许登录",,,边界,
10,登录,用户名包含前后空格时系统按规则处理,已进入登录页；存在账号 testuser01,"用户名："" testuser01 ""；密码：Abc123456","1. 输入带前后空格的用户名
2. 输入正确密码
3. 点击“登录”","1. 若系统设计为自动去空格，则可正常登录
2. 若不允许，则应明确提示格式非法
3. 行为需与需求一致且唯一",,,异常/边界,
11,登录,密码区分大小写校验正确,已进入登录页；账号存在且密码区分大小写,用户名：testuser01；密码：abc123456（实际正确密码为 Abc123456）,"1. 输入正确用户名
2. 输入仅大小写不同的密码
3. 点击“登录”","1. 登录失败
2. 提示用户名或密码错误",,,功能,
12,登录,连续输错密码达到阈值后账户锁定,已进入登录页；账号状态正常；已配置锁定策略，如连续失败5次锁定,用户名：testuser01；连续输入错误密码,1. 连续输入错误密码并提交，直到达到阈值,"1. 达到阈值后账户被锁定
2. 页面提示账户锁定信息
3. 后续即使输入正确密码也不可登录",,,安全,
13,登录,账户锁定后输入正确密码仍不允许登录,账号已处于锁定状态,用户名：testuser01；密码：Abc123456,"1. 输入被锁定账号的正确用户名密码
2. 点击“登录”","1. 登录失败
2. 明确提示账户已锁定或联系管理员
3. 页面不跳转",,,安全,
14,登录,启用验证码后验证码正确可登录,已进入登录页；系统开启验证码；账号状态正常,用户名：testuser01；密码：Abc123456；验证码：当前正确值,"1. 输入正确用户名密码
2. 输入正确验证码
3. 点击“登录”","1. 登录成功
2. 跳转首页",,,正向,
15,登录,启用验证码后验证码错误不可登录,已进入登录页；系统开启验证码,用户名：testuser01；密码：Abc123456；验证码：错误值,"1. 输入正确用户名密码
2. 输入错误验证码
3. 点击“登录”","1. 登录失败
2. 提示验证码错误
3. 不跳转
4. 可按设计刷新验证码",,,异常,
16,登录,验证码为空时不可登录,已进入登录页；系统开启验证码,用户名：testuser01；密码：Abc123456；验证码：空,"1. 输入用户名和密码
2. 验证码留空
3. 点击“登录”","1. 提示请输入验证码
2. 不允许登录",,,异常,
17,登录,验证码过期时不可登录,已进入登录页；系统开启验证码；验证码存在有效期,用户名：testuser01；密码：Abc123456；验证码：已过期值,"1. 输入正确用户名密码
2. 输入已过期验证码
3. 点击“登录”","1. 登录失败
2. 提示验证码已过期
3. 支持刷新验证码重新输入",,,异常,
